"rank","code","code_orig","count","source"
"296","YTX703F","YTX703F","729","https://stats.lineageos.org/"
"297","lithium","lithium","728","https://stats.lineageos.org/"
"298","c106","c106","722","https://stats.lineageos.org/"
"299","i9152","i9152","718","https://stats.lineageos.org/"
"300","jagnm","jagnm","714","https://stats.lineageos.org/"
"301","h830","h830","704","https://stats.lineageos.org/"
"302","crownlte","crownlte","703","https://stats.lineageos.org/"
"303","g151","g151","702","https://stats.lineageos.org/"
"304","wt86518","wt86518","701","https://stats.lineageos.org/"
"305","lt02ltespr","lt02ltespr","699","https://stats.lineageos.org/"
"306","lilac","lilac","699","https://stats.lineageos.org/"
"307","bardockpro","bardockpro","689","https://stats.lineageos.org/"
"308","h910","h910","681","https://stats.lineageos.org/"
"309","x103f","x103f","680","https://stats.lineageos.org/"
"310","gtelwifiue","gtelwifiue","674","https://stats.lineageos.org/"
"311","violet","violet","666","https://stats.lineageos.org/"
"312","d2tmo","d2tmo","661","https://stats.lineageos.org/"
"313","jag3gds","jag3gds","657","https://stats.lineageos.org/"
"314","paella","paella","653","https://stats.lineageos.org/"
"315","h990","h990","650","https://stats.lineageos.org/"
"316","phhgsi_arm64_ab","phhgsi_arm64_ab","648","https://stats.lineageos.org/"
"317","taoshan","taoshan","646","https://stats.lineageos.org/"
"318","vivalto3mveml3g","vivalto3mveml3g","644","https://stats.lineageos.org/"
"319","j5y17lte","j5y17lte","640","https://stats.lineageos.org/"
"320","suzu","suzu","640","https://stats.lineageos.org/"
"321","j2xlte","j2xlte","638","https://stats.lineageos.org/"
"322","apollo","apollo","630","https://stats.lineageos.org/"
"323","helium","helium","628","https://stats.lineageos.org/"
"324","tblte","tblte","628","https://stats.lineageos.org/"
"325","tate","tate","628","https://stats.lineageos.org/"
"326","X00T","X00T","621","https://stats.lineageos.org/"
"327","TBX704","TBX704","620","https://stats.lineageos.org/"
"328","perseus","perseus","616","https://stats.lineageos.org/"
"329","delos3geur","delos3geur","611","https://stats.lineageos.org/"
"330","vs995","vs995","604","https://stats.lineageos.org/"
"331","piccolo","piccolo","595","https://stats.lineageos.org/"
"332","lettuce","lettuce","589","https://stats.lineageos.org/"
"333","kltechn","kltechn","587","https://stats.lineageos.org/"
"334","mondrianlte","mondrianlte","585","https://stats.lineageos.org/"
"335","dior","dior","576","https://stats.lineageos.org/"
"336","discovery","discovery","572","https://stats.lineageos.org/"
"337","santos10lte","santos10lte","571","https://stats.lineageos.org/"
"338","d2spr","d2spr","570","https://stats.lineageos.org/"
"339","clover","clover","564","https://stats.lineageos.org/"
"340","kyleprods","kyleprods","563","https://stats.lineageos.org/"
"341","o7prolte","o7prolte","561","https://stats.lineageos.org/"
"342","kltekor","kltekor","560","https://stats.lineageos.org/"
"343","kltekdi","kltekdi","549","https://stats.lineageos.org/"
"344","nx591j","nx591j","545","https://stats.lineageos.org/"
"345","platina","platina","544","https://stats.lineageos.org/"
"346","kagura_dsds","kagura_dsds","541","https://stats.lineageos.org/"
"347","h815_usu","h815_usu","539","https://stats.lineageos.org/"
"348","prague","prague","537","https://stats.lineageos.org/"
"349","jfltedcm","jfltedcm","533","https://stats.lineageos.org/"
"350","lentislte","lentislte","532","https://stats.lineageos.org/"
"351","nitrogen","nitrogen","532","https://stats.lineageos.org/"
"352","gtaxllte","gtaxllte","531","https://stats.lineageos.org/"
"353","nx531j","nx531j","531","https://stats.lineageos.org/"
